Name,Condition,Process-Heat treatment,Coded,Mg,Nd,Ce,La,Zn,Sn,Al,Ca,Zr,Ag,Ho,Mn,Y,Gd,Cu,Si,Li,Yb,Th,Sb,Pr,Ga,Be,Fe,Ni,Sc,Tb,Dy,Er,Sr,Bi,Sum,YS(MPa),UTS(MPa),Ductility,DOI
Mg-15Sc-1Mn ,cast T5,"Cast (Any cast type, then heat treated)",5,83.4,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,100,152.5,174.5,0.25,
Mg-20Gd,as-cast T6,"Cast (Any cast type, then heat treated)",5,80,0,0,0,0,0,0,0,0.27,0,0,0.01,0,19.7,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,265,330,2.7,
Mg-Gd-Y-Zn-Zr (5),Cast + T6,"Cast (Any cast type, then heat treated)",5,79.55,0,0,0,0,0,0,0,0.34,1.88,0,0,0,18.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,293,414,2.2,
Mg-Y-Gd-Zr(3),He,Extruded,1,74.4,0,0,0,0,0,0,0,0,0,0,0,0,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,320,353,0.4,
Mg-Al-Zn-Mn-Bi,As cast,"Cast (Die cast, HPDC, fast cool)",4,87,0,0,0,0.8,0,9,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,162,224,3.2,
Mg-8Al-5Ga-3Zn,extruded (300C),Extruded,1,84,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,100,518,646,1.2,
Mg-8Al-2Ga-Zn,extruded (453K),Extruded,1,89,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100,518,646,1.2,
Mg-9Al-2Ga,extruded (453K),Extruded,1,89,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100,474,613,1.3,
Mg-8Al-3Ga,extruded (453K),Extruded,1,89,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100,498,630,2.6,
Mg-8Al-2Ga,extruded (453K),Extruded,1,90,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100,499,595,3.5,
Mg-Zn-Ho,Extrusion(210 degree C),Extruded,1,95.9,0,0,0,2.7,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,208,300,20,
Mg-Zn-Ho,Extrusion(230 degree C),Extruded,1,93,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,200,280,15,
Mg-20Tb,as-cast T6,"Cast (Any cast type, then heat treated)",5,80.24,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0.03,0,0,0,0,0,0,0,0,0,0,19.7,0,0,0,0,100,228,280,3.4,
ZYbK520 (1),Extrusion,Extruded,1,92.35,0,0,0,5,0,0,0.25,0.3,0,0,0.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,350,360,16.5,
ZYbK520 (2),4h / RHT,Extruded,1,92.35,0,0,0,5,0,0,0.25,0.3,0,0,0.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,285,325,23,
ZYbK520 (3),4h / RHT + 24 h aging,Extruded,1,92.35,0,0,0,5,0,0,0.25,0.3,0,0,0.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,305,330,24.5,
ZYbK520 (4),4h / RHT + 0.5h / SHT + 24 h aging,Extruded,1,92.35,0,0,0,5,0,0,0.25,0.3,0,0,0.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,315,345,20.5,
ZYbK520 (5),48 h / RHT,Extruded,1,92.35,0,0,0,5,0,0,0.25,0.3,0,0,0.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,230,295,23.5,
ZYbK520 (6),48h / RHT + 24 h aging,Extruded,1,92.35,0,0,0,5,0,0,0.25,0.3,0,0,0.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,260,300,21.5,
Mg-Nd-Zn-Zr,48h / RHT + 0.5h / SHT + 24 h aging,Extruded,1,92.35,0,0,0,5,0,0,0.25,0.3,0,0,0.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,275,315,22,
Mg-Gd-Zr,Hot Extrusion,Extruded,1,85.9,0,0,0,0,0,0,0,0.4,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,100,455,500,12,
Mg-Zn-Er,Extrusion,Extruded,1,97,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,100,305,341,17.9,
